title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Four Rooms",movie,Comedy,1995,tt0113101,6.7,113837,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2365858,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1245164,
"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,479414,
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,193337,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,452358,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1131080,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,263163,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,662382,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,119746,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147566,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,488492,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1372359,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,127022,
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57779,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1069762,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,550206,
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,268158,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,835231,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,223094,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,142931,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1748397,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106260,
"Lock, Stock and Two Smoking Barrels",movie,"Comedy, Crime",1998,tt0120735,8.1,632998,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1296904,
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,212866,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1369641,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,942093,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,114716,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82649,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113452,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,958774,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14167,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,887235,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,341824,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,340273,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,713397,
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64784,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,878605,
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,399362,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80544,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,287461,
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,131132,
