title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9077,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,7885,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2365858,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,524910,
"My Life Without Me",movie,"Drama, Romance",2003,tt0314412,7.4,26197,
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1244811,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,452358,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,662382,
"Walk the Line",movie,"Biography, Drama, Music",2005,tt0358273,7.8,273496,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,488492,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,251353,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1372359,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,850961,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1069762,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,550206,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,835231,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,464565,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106260,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11263,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,474583,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,383845,
"Match Point",movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,233164,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,548832,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2097060,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1863654,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2067474,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,878605,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80544,
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,214671,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,508964,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,3003456,
"Wilbur Wants to Kill Himself",movie,"Comedy, Drama, Romance",2002,tt0329767,6.8,8163,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,425127,
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.5,197996,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,595267,
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,196879,
"Predator 2",movie,"Action, Horror, Sci-Fi",1990,tt0100403,6.3,190446,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,805900,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,174259,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,815776,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,498436,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69908,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,501739,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109926,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136221,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2112620,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1422139,
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,259290,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,437799,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194398,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,246958,
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,125495,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,418147,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1638620,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3027155,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,628650,
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,427250,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,376375,
"Ocean's Eleven",movie,"Comedy, Crime, Music",1960,tt0054135,6.5,26127,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,392990,
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,128794,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,502011,
